@relation datasetCleanedNumeric

@attribute Case_no numeric
@attribute checking_status numeric
@attribute credit_history {'critical/other existing credit','existing paid','delayed previously','no credits/all paid','all paid'}
@attribute purpose {radio/tv,education,furniture/equipment,'new car','used car',business,'domestic appliance',repairs,other,retraining}
@attribute credit_amount numeric
@attribute saving_status numeric
@attribute employment numeric
@attribute personal_status {'male single','female div/dep/mar','male div/sep','male mar/wid'}
@attribute age numeric
@attribute job numeric
@attribute class numeric

@data
1,-1,'critical/other existing credit',radio/tv,1169,0,4,'male single',67,2,1
2,1,'existing paid',radio/tv,5951,1,2,'female div/dep/mar',22,2,0
3,0,'critical/other existing credit',education,2096,1,3,'male single',49,1,1
4,-1,'existing paid',furniture/equipment,7882,1,3,'male single',45,2,1
5,-1,'delayed previously','new car',4870,1,2,'male single',53,2,0
6,0,'existing paid',education,9055,0,2,'male single',35,1,1
7,0,'existing paid',furniture/equipment,2835,3,4,'male single',53,2,1
8,1,'existing paid','used car',6948,1,2,'male single',35,3,1
9,0,'existing paid',radio/tv,3059,4,3,'male div/sep',61,1,1
10,1,'critical/other existing credit','new car',5234,1,0,'male mar/wid',28,3,0
11,1,'existing paid','new car',1295,1,1,'female div/dep/mar',25,2,0
12,-1,'existing paid',business,4308,1,1,'female div/dep/mar',24,2,0
13,1,'existing paid',radio/tv,1567,1,2,'female div/dep/mar',22,2,1
14,-1,'critical/other existing credit','new car',1199,1,4,'male single',60,1,0
15,-1,'existing paid','new car',1403,1,2,'female div/dep/mar',28,2,1
16,-1,'existing paid',radio/tv,1282,2,2,'female div/dep/mar',32,1,0
17,0,'critical/other existing credit',radio/tv,2424,0,4,'male single',53,2,1
18,-1,'no credits/all paid',business,8072,0,1,'male single',25,2,1
19,1,'existing paid','used car',12579,1,4,'female div/dep/mar',44,3,0
20,0,'existing paid',radio/tv,3430,3,4,'male single',31,2,1
21,0,'critical/other existing credit','new car',2134,1,2,'male single',48,2,1
22,-1,'existing paid',radio/tv,2647,3,2,'male single',44,2,1
23,-1,'critical/other existing credit','new car',2241,1,1,'male single',48,1,1
24,1,'critical/other existing credit','used car',1804,2,1,'male single',44,2,1
25,0,'critical/other existing credit',furniture/equipment,2069,0,2,'male mar/wid',26,2,1
26,-1,'existing paid',furniture/equipment,1374,1,2,'male single',60,1,1
27,0,'no credits/all paid',radio/tv,426,1,4,'male mar/wid',39,1,1
28,2,'all paid',radio/tv,409,4,2,'female div/dep/mar',42,2,1
29,1,'existing paid',radio/tv,2415,1,2,'male single',34,2,1
30,-1,'delayed previously',business,6836,1,4,'male single',63,2,0
31,1,'existing paid',business,1913,4,1,'male mar/wid',36,2,1
32,-1,'existing paid',furniture/equipment,4020,1,2,'male single',27,2,1
33,1,'existing paid','new car',5866,2,2,'male single',30,2,1
34,0,'critical/other existing credit',business,1264,0,4,'male single',57,1,1
35,2,'existing paid',furniture/equipment,1474,1,1,'female div/dep/mar',33,3,1
36,1,'critical/other existing credit',radio/tv,4746,1,1,'male single',25,1,0
37,0,'critical/other existing credit',education,6110,1,2,'male single',31,2,1
38,2,'existing paid',radio/tv,2100,1,2,'male single',37,2,0
39,2,'existing paid','domestic appliance',1225,1,2,'male single',37,2,1
40,1,'existing paid',radio/tv,458,1,2,'male single',24,2,1
41,0,'existing paid',radio/tv,2333,3,4,'male single',30,3,1
42,1,'existing paid',radio/tv,1158,3,2,'male div/sep',26,2,1
43,1,'delayed previously',repairs,6204,1,2,'male single',44,1,1
44,-1,'critical/other existing credit','used car',6187,2,3,'male mar/wid',24,2,1
45,-1,'critical/other existing credit','used car',6143,1,4,'female div/dep/mar',58,1,0
46,0,'critical/other existing credit','new car',1393,1,1,'female div/dep/mar',35,3,1
47,0,'existing paid',radio/tv,2299,3,4,'male single',39,2,1
48,-1,'existing paid','used car',1352,3,0,'female div/dep/mar',23,0,1
49,0,'critical/other existing credit','new car',7228,1,2,'male single',39,1,1
50,0,'existing paid',radio/tv,2073,2,2,'female div/dep/mar',28,2,1
51,1,'delayed previously',furniture/equipment,2333,0,1,'male single',29,1,1
52,1,'delayed previously','used car',5965,1,4,'male single',30,3,1
53,0,'existing paid',radio/tv,1262,1,2,'male single',25,2,1
54,0,'existing paid','used car',3378,0,2,'male single',1,2,1
55,1,'delayed previously','new car',2225,1,4,'male single',57,2,0
56,0,'all paid','new car',783,0,2,'male single',26,1,1
57,1,'existing paid',radio/tv,6468,0,0,'male single',52,3,0
58,0,'critical/other existing credit',radio/tv,9566,1,2,'female div/dep/mar',31,2,1
59,2,'existing paid','new car',1961,1,4,'female div/dep/mar',23,3,1
60,-1,'critical/other existing credit',furniture/equipment,6229,1,1,'female div/dep/mar',23,1,0
61,1,'existing paid',business,1391,1,2,'male mar/wid',27,2,1
62,1,'critical/other existing credit',radio/tv,1537,0,4,'male single',50,2,1
63,1,'no credits/all paid',business,1953,1,4,'male single',61,3,0
64,1,'no credits/all paid',business,14421,1,2,'male single',25,2,0
66,0,'existing paid',repairs,5190,0,4,'male single',48,2,1
67,0,'existing paid',radio/tv,2171,1,1,'female div/dep/mar',29,2,1
68,1,'existing paid','new car',1007,4,2,'male mar/wid',22,2,1
70,0,'existing paid',radio/tv,2394,0,2,'female div/dep/mar',25,2,1
71,0,'existing paid','used car',8133,1,2,'female div/dep/mar',30,2,1
72,0,'critical/other existing credit',radio/tv,730,0,4,'male single',46,1,1
73,-1,'critical/other existing credit',other,1164,1,4,'male single',51,3,1
74,1,'critical/other existing credit',business,5954,1,3,'female div/dep/mar',41,1,1
75,-1,'existing paid',education,1977,0,4,'male single',40,3,0
76,-1,'critical/other existing credit','used car',1526,1,4,'male single',66,3,1
77,-1,'existing paid',radio/tv,3965,1,1,'male single',34,2,0
78,1,'delayed previously',radio/tv,4771,1,3,'male single',51,2,1
79,0,'no credits/all paid','used car',9436,0,2,'male single',39,1,1
80,1,'existing paid',furniture/equipment,3832,1,1,'male mar/wid',22,2,1
81,0,'existing paid',radio/tv,5943,0,1,'female div/dep/mar',44,2,0
82,0,'existing paid',radio/tv,1213,3,4,'male single',47,2,1
83,0,'existing paid',business,1568,2,2,'female div/dep/mar',24,1,1
84,-1,'existing paid',other,1755,1,4,'female div/dep/mar',58,1,1
85,-1,'existing paid',radio/tv,2315,1,4,'male single',52,1,1
86,0,'critical/other existing credit',business,1412,1,2,'female div/dep/mar',29,3,1
87,1,'critical/other existing credit',furniture/equipment,1295,1,1,'female div/dep/mar',27,2,1
88,1,'existing paid',education,12612,2,2,'male single',47,2,0
89,-1,'existing paid','new car',2249,2,3,'male single',30,3,1
90,-1,'no credits/all paid',repairs,1108,1,3,'male single',28,2,0
91,0,'critical/other existing credit',radio/tv,618,1,4,'male single',56,2,1
92,-1,'critical/other existing credit','used car',1409,1,4,'male single',54,2,1
93,0,'critical/other existing credit',radio/tv,797,0,4,'female div/dep/mar',33,1,0
94,2,'critical/other existing credit',furniture/equipment,3617,0,4,'male single',20,2,1
95,1,'existing paid','new car',1318,4,4,'male single',54,2,1
96,1,'no credits/all paid',business,15945,1,1,'male single',58,2,0
97,0,'critical/other existing credit',education,2012,0,3,'female div/dep/mar',61,2,1
98,1,'existing paid',business,2622,2,2,'male single',34,2,1
99,1,'critical/other existing credit',radio/tv,2337,1,4,'male single',36,2,1
100,1,'delayed previously','used car',7057,0,3,'male single',36,3,1
101,0,'existing paid','new car',1469,2,4,'male mar/wid',41,1,1
102,1,'existing paid',radio/tv,2323,1,3,'male single',24,2,1
103,0,'delayed previously',radio/tv,932,1,2,'female div/dep/mar',24,2,1
104,1,'critical/other existing credit',furniture/equipment,1919,1,3,'male single',35,2,1
105,0,'existing paid','used car',2445,0,1,'male mar/wid',26,2,1
106,1,'critical/other existing credit',other,11938,1,2,'male single',39,3,0
107,0,'all paid','new car',6458,1,4,'male single',39,3,0
108,1,'existing paid','new car',6078,1,3,'male single',32,2,1
109,-1,'existing paid',furniture/equipment,7721,0,1,'female div/dep/mar',30,2,1
110,1,'existing paid',business,1410,3,4,'male mar/wid',35,2,1
111,1,'delayed previously',business,1449,2,4,'male div/sep',31,2,1
112,2,'existing paid',education,392,1,1,'female div/dep/mar',23,2,1
113,1,'existing paid','new car',6260,1,3,'male single',28,1,1
114,0,'critical/other existing credit','new car',7855,1,2,'female div/dep/mar',25,2,0
115,-1,'existing paid',radio/tv,1680,3,4,'male mar/wid',35,2,1
116,0,'critical/other existing credit',radio/tv,3578,0,4,'male single',47,2,1
117,-1,'existing paid',radio/tv,7174,0,3,'female div/dep/mar',30,3,0
118,-1,'critical/other existing credit',furniture/equipment,2132,0,1,'female div/dep/mar',27,2,1
119,-1,'critical/other existing credit',furniture/equipment,4281,3,2,'female div/dep/mar',23,2,0
120,1,'critical/other existing credit','new car',2366,3,3,'male div/sep',36,3,1
121,-1,'existing paid',radio/tv,1835,1,2,'female div/dep/mar',25,2,0
122,0,'critical/other existing credit','used car',3868,1,4,'female div/dep/mar',41,3,1
123,0,'existing paid',furniture/equipment,1768,1,2,'male single',24,1,1
124,2,'critical/other existing credit','new car',781,1,4,'male single',63,2,1
125,1,'existing paid',furniture/equipment,1924,0,1,'female div/dep/mar',27,2,0
126,-1,'critical/other existing credit','new car',2121,1,2,'male single',30,2,1
127,-1,'existing paid',radio/tv,701,1,2,'male mar/wid',40,1,1
128,1,'existing paid',repairs,639,1,2,'male single',30,2,0
129,1,'critical/other existing credit','used car',1860,1,0,'male single',34,3,1
130,-1,'critical/other existing credit','new car',3499,1,2,'female div/dep/mar',29,2,0
131,1,'existing paid','new car',8487,0,3,'female div/dep/mar',24,2,1
132,-1,'delayed previously',education,6887,1,2,'male single',29,2,0
133,0,'existing paid',furniture/equipment,2708,1,1,'male single',27,1,1
134,0,'existing paid',furniture/equipment,1984,1,2,'male single',47,2,1
135,0,'existing paid',radio/tv,10144,2,3,'female div/dep/mar',21,2,1
136,0,'critical/other existing credit',radio/tv,1240,0,4,'female div/dep/mar',38,2,1
137,0,'delayed previously','used car',8613,4,2,'male single',27,2,1
138,1,'existing paid',radio/tv,766,3,2,'male single',66,1,0
139,1,'critical/other existing credit',radio/tv,2728,0,3,'male single',35,2,1
